BMR,Required_Calorie
943.029,1225.9377
951.016,1806.9304
921.752,1751.3288
774.194,1470.9686
711.421,1351.6999
960.808,1825.5352
921.22,1750.318
982.176,1866.1344
946.713,1230.7269
925.924,1759.2556
965.333,1834.1327
964.67,1639.939
934.572,1214.9436
968.214,1839.6066
939.219,1596.6723
754.442,1433.4398
914.264,1737.1016
952.564,1809.8716
787.023,1495.3437
946.977,1799.2563
921.949,1751.7031
954.265,1431.3975
790.74,1502.406
935.875,1590.9875
963.822,1638.4974
945.666,1796.7654
953.719,1812.0661
686.582,1167.1894
717.311,1219.4287
691.128,1036.692
976.052,1659.2884
955.229,1814.9351
704.817,1198.1889
777.675,1166.5125
965.226,1640.8842
933.193,1586.4281
789.063,1499.2197
965.547,1641.4299
689.952,1034.928
964.363,1639.4171
761.856,1447.5264
938.209,1782.5971
728.193,1237.9281
712.012,1352.8228
967.8,1451.7
944.413,1605.5021
946.817,1609.5889
976.907,1856.1233
951.906,1427.859
991.075,1883.0425
716.838,1361.9922
934.829,1776.1751
957.935,1820.0765
926.356,1574.8052
928.369,1206.8797
950.9,1806.71
977.532,1466.298
960.881,1825.6739
827.588,1572.4172
980.072,1470.108
947.621,1800.4799
956.223,1625.5791
974.769,1462.1535
971.477,1845.8063
937.514,1781.2766
764.803,994.2439
920.278,1748.5282
953.764,1812.1516
923.757,1755.1383
955.851,1624.9467
948.216,1611.9672
983.861,1672.5637
911.995,1550.3915
947.983,1232.3779
965.199,1640.8383
973.316,1849.3004
916.62,1741.578
942.346,1790.4574
919.557,1563.2469
949.766,1614.6022
958.538,1821.2222
925.577,1573.4809
973.251,1654.5267
955.283,1432.9245
978.57,1663.569
937.225,1593.2825
917.697,1560.0849
958.675,1821.4825
779.388,1480.8372
958.617,1246.2021
957.596,1436.394
954.265,1431.3975
691.762,1175.9954
979.096,1468.644
981.845,1472.7675
962.54,1636.318
766.625,1456.5875
970.164,1455.246
936.147,1778.6793
953.618,1239.7034
948.806,1612.9702
957.895,1628.4215
949.464,1424.196
715.055,1358.6045
909.571,1728.1849
949.455,1614.0735
930.635,1395.9525
961.156,1633.9652
975.765,1463.6475
949.523,1614.1891
960.044,1632.0748
953.314,1239.3082
936.777,1779.8763
934.567,1775.6773
684.914,1164.3538
962.081,1827.9539
972.87,1459.305
940.412,1786.7828
962.406,1636.0902
983.23,1671.491
923.31,1569.627
944.149,1793.8831
949.439,1614.0463
950.44,1805.836
925.333,1758.1327
762.434,991.1642
941.724,1600.9308
985.351,1478.0265
953.067,1620.2139
760.92,989.196
900.108,1530.1836
793.044,1506.7836
956.445,1243.3785
788.045,1497.2855
940.967,1599.6439
949.745,1614.5665
952.274,1809.3206
928.445,1578.3565
952.418,1809.5942
927.98,1763.162
910.445,1547.7565
925.088,1757.6672
966.625,1643.2625
940.575,1787.0925
945.697,1796.8243
688.425,1032.6375
945.467,1229.1071
919.542,1563.2214
967.358,1644.5086
1026.293,1949.9567
1051.499,1577.2485
1003.834,1907.2846
1089.718,1852.5206
1007.513,1511.2695
1061.22,1804.074
1007.053,1510.5795
928.711,1764.5509
1039.708,1767.5036
952.347,1618.9899
1059.579,2013.2001
1067.575,1601.3625
1103.351,1655.0265
998.597,1697.6149
930.91,1582.547
1025.278,1742.9726
1022.42,1942.598
1059.931,1589.8965
992.19,1686.723
1013.42,1722.814
1094.371,1641.5565
1020.454,1530.681
1015.575,1929.5925
1106.928,1660.392
1030.65,1545.975
1009.782,1514.673
922.716,1753.1604
954.099,1621.9683
1042.966,1773.0422
1086.66,1629.99
1041.26,1561.89
994.072,1689.9224
1002.021,1503.0315
1059.724,1801.5308
872.899,1658.5081
972.704,1848.1376
899.971,1709.9449
1006.461,1710.9837
1053.644,1791.1948
915.896,1557.0232
1069.015,1817.3255
1053.169,1579.7535
1090.973,1854.6541
1116.598,1451.5774
1011.88,1517.82
1055.909,1795.0453
1079.318,1834.8406
1073.822,1610.733
1059.583,1589.3745
1001.999,1703.3983
1061.954,1592.931
927.522,1576.7874
1044.238,1566.357
993.401,1887.4619
1076.021,1398.8273
1030.288,1545.432
1071.275,1821.1675
1055.556,1372.2228
1072.31,2037.389
888.909,1511.1453
1047.767,1571.6505
953.634,1811.9046
903.287,1716.2453
950.282,1615.4794
1079.297,1403.0861
1032.796,1549.194
1077.831,1616.7465
1101.675,1652.5125
996.849,1495.2735
1037.846,1556.769
1000.73,1701.241
1100.433,1870.7361
901.055,1531.7935
968.33,1646.161
1038.91,1558.365
945.893,1608.0181
1087.985,1631.9775
1042.005,1563.0075
1027.288,1540.932
1088.129,1632.1935
998.997,1898.0943
1077.562,1616.343
901.032,1711.9608
877.803,1492.2651
995.221,1890.9199
1087.989,1631.9835
970.9,1456.35
1088.821,1633.2315
979.483,1469.2245
951.698,1808.2262
998.53,1897.207
1027.268,1540.902
1073.372,1824.7324
1081.665,1406.1645
978.841,1664.0297
1043.523,1565.2845
998.354,1896.8726
1012.642,1924.0198
964.101,1831.7919
1004.372,1707.4324
1019.746,1529.619
1032.655,1755.5135
1025.454,1743.2718
1081.163,1837.9771
1001.377,1902.6163
995.804,1493.706
1026.766,1745.5022
957.639,1244.9307
966.18,1835.742
1064.916,1597.374
901.007,1531.7119
947.689,1800.6091
965.325,1641.0525
1023.4,1535.1
962.037,1827.8703
1032.751,1549.1265
1087.769,1849.2073
1031.677,1547.5155
1058.009,1798.6153
946.225,1608.5825
1053.57,1580.355
1088.056,1849.6952
989.111,1483.6665
1098.247,1647.3705
904.99,1719.481
1068.681,1816.7577
1010.115,1717.1955
983.959,1869.5221
1064.707,1384.1191
1036.286,1554.429
1073.074,1824.2258
1055.096,1793.6632
956.255,1816.8845
1020.536,1939.0184
1011.684,1517.526
965.127,1640.7159
1089.341,1634.0115
906.322,1722.0118
980.416,1176.4992
1065.629,1598.4435
1054.339,1581.5085
1005.919,1508.8785
1096.023,1644.0345
995.307,1891.0833
1083.328,1624.992
1052.848,1579.272
940.908,1599.5436
1054.02,1581.03
942.405,1602.0885
1109.657,1664.4855
1071.964,1607.946
1046.578,1779.1826
1059.525,1589.2875
998.029,1497.0435
967.293,1644.3981
956.476,1434.714
1093.992,1859.7864
980.564,1470.846
1082.822,1624.233
1047.978,1781.5626
1068.002,1815.6034
1020.232,1938.4408
947.265,1610.3505
1084.844,1844.2348
1005.255,1507.8825
958.52,1629.484
928.047,1763.2893
1085.836,1845.9212
1026.275,1539.4125
1002.341,1904.4479
1086.89,1630.335
1007.345,1913.9555
1044.967,1567.4505
1095.666,1643.499
1056.998,1796.8966
930.092,1767.1748
936.105,1778.5995
1103.072,1875.2224
1035.593,1760.5081
923.8,1570.46
954.054,1812.7026
967.094,1837.4786
1005.283,1507.9245
1098.052,1647.078
1049.97,1574.955
1099.893,1649.8395
1092.376,1638.564
1041.763,1562.6445
1013.782,1926.1858
1045.78,1777.826
1022.967,1534.4505
1049.522,1784.1874
980.828,1176.9936
969.688,1842.4072
900.376,1710.7144
1056.712,1796.4104
1002.137,1503.2055
1068.191,1815.9247
974.819,1852.1561
961.737,1827.3003
1074.79,2042.101
1042.036,1563.054
1076.913,1830.7521
938.161,1594.8737
1028.216,1747.9672
1056.227,1795.5859
1104.8,1657.2
1104.892,1657.338
1026.197,1744.5349
985.249,1674.9233
1029.797,1544.6955
933.556,1773.7564
1028.123,1747.8091
1038.117,1557.1755
1039.481,1559.2215
1087.017,1630.5255
916.252,1740.8788
975.254,1852.9826
982.873,1670.8841
883.952,1502.7184
1083.143,1841.3431
1001.828,1903.4732
937.378,1781.0182
916.244,1740.8636
1093.085,1858.2445
1014.06,1926.714
1074.077,1611.1155
1030.916,1752.5572
1011.369,1517.0535
997.457,1496.1855
921.605,1751.0495
1055.15,1793.755
1015.76,1523.64
1005.601,1910.6419
969.956,1454.934
963.441,1637.8497
1069.924,1818.8708
1104.747,1657.1205
926.546,1760.4374
1035.338,1553.007
915.539,1739.5241
1041.262,1561.893
1059.632,1801.3744
995.129,1890.7451
971.871,1846.5549
1067.936,1601.904
1047.953,1571.9295
1052.406,1789.0902
985.74,1675.758
936.104,1778.5976
1006.327,1710.7559
1081.391,1622.0865
1006.676,1711.3492
1078.488,1833.4296
974.04,1850.676
1008.098,1512.147
1037.524,1556.286
974.493,1656.6381
1030.638,1545.957
858.743,1459.8631
1043.532,1774.0044
1077.143,2046.5717
1081.729,1838.9393
932.455,1585.1735
1041.344,1562.016
1086.04,1629.06
1040.584,1560.876
973.536,1849.7184
972.198,1847.1762
1039.781,1767.6277
984.21,1673.157
993.219,1688.4723
959.139,1822.3641
1062.868,1806.8756
1069.801,1604.7015
1069.66,1604.49
1048.199,1572.2985
997.09,1495.635
991.964,1487.946
1017.234,1729.2978
990.196,1881.3724
1073.773,2040.1687
1068.434,1816.3378
989.821,1484.7315
1058.819,1799.9923
904.583,1718.7077
1078.652,1833.7084
1016.023,1524.0345
1094.516,1860.6772
1032.697,1549.0455
1087.17,1630.755
1046.692,1570.038
1052.428,1789.1276
1056.981,1585.4715
1005.905,1508.8575
970.669,1456.0035
1005.902,1911.2138
991.09,1883.071
1081.268,1621.902
1096.754,1645.131
1053.365,1580.0475
966.914,1643.7538
1104.475,1656.7125
1014.126,1724.0142
1078.59,1617.885
1081.861,1839.1637
1052.715,1789.6155
981.046,1471.569
1079.489,1835.1313
1036.873,1555.3095
998.211,1896.6009
1056.299,1795.7083
1086.896,1630.344
991,1486.5
939.925,1597.8725
968.926,1840.9594
968.837,1453.2555
1068.425,1816.3225
1085.314,1410.9082
1030.284,1751.4828
1015.27,1522.905
970.976,1456.464
1007.998,1511.997
977.739,1466.6085
1044.301,1775.3117
977.149,1661.1533
1091.912,1637.868
1057.882,1586.823
1071.013,1606.5195
957.12,1244.256
957.162,1627.1754
1055.555,1583.3325
1079.571,1619.3565
1027.13,1540.695
1059.963,1589.9445
948.19,1801.561
901.36,1532.312
1065.337,1384.9381
1057.193,1585.7895
1039.133,1558.6995
971.966,1457.949
983.128,1867.9432
1001.666,1702.8322
1092.297,1638.4455
955.688,1815.8072
1054.884,1582.326
910.497,1729.9443
961.87,1635.179
1107.756,1661.634
1091.196,1418.5548
1017.385,1526.0775
983.516,1671.9772
1066.233,1812.5961
977.667,1857.5673
936.993,1592.8881
1085.453,1845.2701
999.377,1698.9409
1107.798,1883.2566
980.762,1667.2954
1057.261,1797.3437
1022.689,1943.1091
1024.866,1537.299
978.586,1174.3032
1054.403,1792.4851
1079.577,1835.2809
961.277,1634.1709
1044.129,1775.0193
1056.29,1584.435
932.037,1770.8703
942.226,1601.7842
930.901,1768.7119
1066.659,1599.9885
929.98,1580.966
1053.702,1791.2934
1096.52,1644.78
981.027,1471.5405
1085.759,1628.6385
1048.117,1572.1755
1067.397,1601.0955
976.968,1660.8456
1081.691,1622.5365
1023.326,1944.3194
1101.091,1871.8547
1092.984,1639.476
961.888,1827.5872
1067.666,1815.0322
1040.886,1769.5062
1006.144,1509.216
1095.302,1642.953
943.288,1603.5896
1058.263,1587.3945
922.414,1568.1038
1064.616,1809.8472
930.21,1581.357
1076.851,1830.6467
1073.549,1825.0333
1050.204,1785.3468
899.743,1529.5631
924.418,1571.5106
1082.337,1623.5055
1017.191,1525.7865
994.162,1888.9078
990.893,1684.5181
1071.483,1607.2245
910.545,1730.0355
1025.723,1743.7291
963.846,1638.5382
1029.745,1544.6175
905.503,1539.3551
989.134,1186.9608
1018.347,1731.1899
1032.756,1549.134
1058.787,1799.9379
1035.923,1761.0691
1069.819,1818.6923
1030.508,1545.762
965.293,1834.0567
931.712,1770.2528
956.642,1817.6198
1044.749,1776.0733
886.412,1506.9004
895.4,1701.26
1083.003,1841.1051
1031.408,1547.112
972.559,1653.3503
997.842,1496.763
1102.672,1874.5424
1023.219,1739.4723
975.539,1853.5241
915.127,1738.7413
1025.454,1538.181
1092.059,1856.5003
1038.124,1557.186
1055.16,1793.772
1089.551,1852.2367
1037.164,1555.746
984.836,1477.254
1017.206,1525.809
1012.628,1721.4676
964.321,1157.1852
997.994,1696.5898
1073.057,1824.1969
1027.939,1747.4963
959.644,1631.3948
946.906,1609.7402
1090.278,1635.417
1004.949,1909.4031
1034.303,1551.4545
1052.114,1578.171
1080.112,1620.168
1078.891,2049.8929
957.975,1628.5575
975.948,1659.1116
974.456,1656.5752
1068.583,1602.8745
1076.049,1398.8637
1063.989,1595.9835
1041.11,1769.887
1089.655,1634.4825
1000.772,1901.4668
1085.728,1845.7376
1097.911,1866.4487
993,1688.1
981.579,1177.8948
935.745,1590.7665
1100.39,1870.663
1078.499,1833.4483
969.1,1647.47
999.062,1698.4054
1062.125,1805.6125
973.741,1655.3597
937.877,1594.3909
918.979,1562.2643
1039.934,1767.8878
1038.403,1557.6045
949.205,1423.8075
1030.969,1752.6473
980.516,1470.774
1050.817,1786.3889
1072.641,1394.4333
1113.045,1669.5675
1028.188,1747.9196
1078.071,1617.1065
1037.618,1763.9506
1017.423,1933.1037
1001.845,1703.1365
1038.22,1557.33
958.74,1629.858
1095.275,1861.9675
940.758,1787.4402
1036.683,1555.0245
1055.833,1583.7495
1017.582,1729.8894
1079.63,1619.445
1094.828,1642.242
973.332,1459.998
948.693,1802.5167
1077.192,1831.2264
1074.77,1612.155
1083.223,1624.8345
979.242,1664.7114
1096.658,1644.987
997.287,1495.9305
987.965,1481.9475
945.813,1418.7195
974.486,1169.3832
993.825,1490.7375
960.388,1824.7372
1025.928,1744.0776
1061.611,1804.7387
1069.707,1604.5605
945.104,1606.6768
948.117,1611.7989
940.088,1786.1672
1027.104,1746.0768
904.19,1537.123
912.115,1733.0185
944.755,1606.0835
919.65,1747.335
900.424,1530.7208
987.952,1679.5184
953.725,1621.3325
1087.157,1848.1669
964.785,1640.1345
1047.438,1780.6446
1063.688,1595.532
948.107,1801.4033
960.28,1440.42
1065.267,1597.9005
953.268,1811.2092
1064.225,1809.1825
949.778,1804.5782
1017.404,1526.106
1015.702,1523.553
922.55,1568.335
1071.745,1607.6175
909.921,1546.8657
1046.887,1779.7079
896.08,1523.336
921.673,1751.1787
895.38,1701.222
996.929,1495.3935
1080.387,1836.6579
982.772,1867.2668
1027.289,1540.9335
936.642,1779.6198
1039.396,1559.094
1080.344,1620.516
930.368,1581.6256
1077.59,1831.903
1037.609,1763.9353
1037.92,1556.88
1015.205,1725.8485
1092.778,1857.7226
998.01,1896.219
971.524,1165.8288
927.414,1576.6038
1069.348,2031.7612
1034.475,1758.6075
1084.894,1844.3198
900.239,1710.4541
907.807,1543.2719
981.976,1865.7544
1083.761,1842.3937
1059.948,1801.9116
1015.55,1523.325
997.288,1495.932
975.015,1852.5285
940.755,1787.4345
962.842,1636.8314
1031.941,1754.2997
1039.408,1559.112
1092.111,1638.1665
1079.274,1834.7658
906.487,1541.0279
977.649,1466.4735
970.486,1649.8262
1010.665,1718.1305
1021.94,1941.686
1086.359,1629.5385
1039.941,1767.8997
1089.702,1634.553
1019.648,1529.472
978.463,1663.3871
1018.016,1527.024
1102.286,1653.429
985.425,1675.2225
998.86,1698.062
972.442,1166.9304
1022.634,1738.4778
987.957,1877.1183
1025.106,1537.659
921.408,1750.6752
1069.751,2032.5269
939.869,1785.7511
1012.566,1518.849
946.986,1799.2734
1045.007,1776.5119
974.899,1852.3081
1085.838,1411.5894
1051.153,1576.7295
978.306,1663.1202
1103.85,1655.775
1040.411,1560.6165
968.786,1840.6934
957.256,1244.4328
971.132,1456.698
1017.825,1933.8675
938.355,1595.2035
1004.211,1908.0009
924.425,1756.4075
1015.139,1725.7363
944.856,1795.2264
1081.076,1621.614
951.517,1617.5789
975.678,1463.517
1033.648,1757.2016
1028.965,1749.2405
1004.552,1908.6488
912.184,1733.1496
892.852,1517.8484
961.391,1826.6429
954.46,1622.582
981.995,1669.3915
1053.688,1580.532
963.413,1637.8021
930.079,1767.1501
949.457,1803.9683
1006.908,1913.1252
1045.135,1776.7295
1018.05,1730.685
1012.364,1923.4916
1029.366,1544.049
1058.859,1588.2885
948.969,1613.2473
1070.351,1819.5967
949.24,1803.556
1029.138,1749.5346
999.428,1699.0276
971.813,1457.7195
1062.618,1806.4506
1072.1,1393.73
958.001,1820.2019
1012.804,1519.206
1079.731,1619.5965
902.003,1713.8057
957.954,1820.1126
976.474,1464.711
1105.434,1879.2378
1081.037,1405.3481
1028.143,1747.8431
1015.652,1726.6084
1018.187,1730.9179
934.922,1589.3674
1045.434,1568.151
953.083,1810.8577
984.071,1869.7349
1002.8,1704.76
962.675,1155.21
1095.344,1862.0848
1017.175,1932.6325
956.944,1244.0272
1024.687,1946.9053
1016.078,1727.3326
1027.263,1540.8945
977.907,1662.4419
965.197,1833.8743
1024.635,1536.9525
952.661,1238.4593
977.23,1465.845
1041.281,1770.1777
979.203,1860.4857
962.362,1154.8344
1095.854,1862.9518
1091.745,1637.6175
952.052,1237.6676
948.171,1611.8907
924.739,1757.0041
1086.793,1630.1895
1015.792,1523.688
972.742,1848.2098
1033.455,1550.1825
878.631,1669.3989
877.792,1667.8048
997.884,1496.826
1030.164,1545.246
1082.339,1839.9763
1002.576,1904.8944
983.024,1867.7456
1093.029,1639.5435
914.199,1554.1383
1065.264,1384.8432
1078.748,1618.122
1075.372,1397.9836
1066.963,1600.4445
916.047,1740.4893
956.47,1817.293
1031.488,1753.5296
1043.322,1564.983
1020.89,1735.513
953.383,1430.0745
933.62,1773.878
1060.433,1590.6495
1085.144,1844.7448
1075.421,1613.1315
1030.052,1545.078
954.696,1432.044
866.821,1646.9599
976.816,1855.9504
1078.375,1617.5625
931.863,1584.1671
1024.687,1537.0305
921.336,1750.5384
910.145,1547.2465
905.885,1721.1815
1012.709,1519.0635
999.585,1699.2945
1102.169,1873.6873
1018.755,1731.8835
941.121,1788.1299
1012.135,1923.0565
981.73,1472.595
1032.689,1755.5713
886.432,1684.2208
986.669,1480.0035
1049.995,1784.9915
909.577,1728.1963
1031.872,1547.808
1033.898,1550.847
967.24,1644.308
993.003,1688.1051
1106.689,1660.0335
1046.137,1778.4329
1032.408,1548.612
1047.343,1571.0145
1074.795,1612.1925
934.717,1589.0189
944.39,1605.463
978.211,1858.6009
918.872,1562.0824
1025.546,1538.319
1071.58,1607.37
1039.088,1558.632
1082.781,1624.1715
